33 by 134 matrix 	 3.79204 Gflop/s
33 by 133 matrix 	 3.81464 Gflop/s
33 by 132 matrix 	 3.83785 Gflop/s
33 by 131 matrix 	 3.85285 Gflop/s
33 by 130 matrix 	 3.87886 Gflop/s
33 by 129 matrix 	 3.90172 Gflop/s
33 by 128 matrix 	 3.92238 Gflop/s
33 by 127 matrix 	 3.94455 Gflop/s
33 by 126 matrix 	 3.96079 Gflop/s
33 by 125 matrix 	 3.98918 Gflop/s
33 by 124 matrix 	 4.0055 Gflop/s
33 by 123 matrix 	 4.01707 Gflop/s
33 by 122 matrix 	 4.00656 Gflop/s
33 by 121 matrix 	 4.00518 Gflop/s
33 by 120 matrix 	 4.00861 Gflop/s
33 by 119 matrix 	 4.00251 Gflop/s
33 by 118 matrix 	 3.99863 Gflop/s
33 by 117 matrix 	 3.99091 Gflop/s
33 by 116 matrix 	 3.9912 Gflop/s
33 by 115 matrix 	 3.9919 Gflop/s
33 by 114 matrix 	 3.9855 Gflop/s
33 by 113 matrix 	 3.98411 Gflop/s
33 by 112 matrix 	 3.98908 Gflop/s
33 by 111 matrix 	 3.98651 Gflop/s
33 by 110 matrix 	 3.99319 Gflop/s
33 by 109 matrix 	 3.98462 Gflop/s
33 by 108 matrix 	 4.00494 Gflop/s
33 by 107 matrix 	 3.99737 Gflop/s
33 by 106 matrix 	 3.99731 Gflop/s
33 by 105 matrix 	 3.99585 Gflop/s
33 by 104 matrix 	 3.98359 Gflop/s
33 by 103 matrix 	 3.97233 Gflop/s
33 by 102 matrix 	 3.95868 Gflop/s
33 by 101 matrix 	 3.93734 Gflop/s
33 by 100 matrix 	 3.92474 Gflop/s
33 by 99 matrix 	 3.94333 Gflop/s
33 by 98 matrix 	 3.9301 Gflop/s
33 by 97 matrix 	 3.93353 Gflop/s
33 by 96 matrix 	 3.93559 Gflop/s
33 by 95 matrix 	 3.93094 Gflop/s
33 by 94 matrix 	 3.93427 Gflop/s
33 by 93 matrix 	 3.91597 Gflop/s
33 by 92 matrix 	 3.91283 Gflop/s
33 by 91 matrix 	 3.96415 Gflop/s
33 by 90 matrix 	 3.97171 Gflop/s
33 by 89 matrix 	 3.94888 Gflop/s
33 by 88 matrix 	 3.95791 Gflop/s
33 by 87 matrix 	 3.94994 Gflop/s
33 by 86 matrix 	 3.95971 Gflop/s
33 by 85 matrix 	 3.95275 Gflop/s
33 by 84 matrix 	 3.95324 Gflop/s
33 by 83 matrix 	 3.94597 Gflop/s
33 by 82 matrix 	 3.94396 Gflop/s
33 by 81 matrix 	 3.9297 Gflop/s
33 by 80 matrix 	 3.93689 Gflop/s
33 by 79 matrix 	 3.93298 Gflop/s
33 by 78 matrix 	 3.94088 Gflop/s
33 by 77 matrix 	 3.92485 Gflop/s
33 by 76 matrix 	 3.88029 Gflop/s
33 by 75 matrix 	 3.88173 Gflop/s
33 by 74 matrix 	 3.85878 Gflop/s
33 by 73 matrix 	 3.86517 Gflop/s
33 by 72 matrix 	 3.90674 Gflop/s
33 by 71 matrix 	 3.89965 Gflop/s
33 by 70 matrix 	 3.889 Gflop/s
33 by 69 matrix 	 3.87651 Gflop/s
33 by 68 matrix 	 3.86561 Gflop/s
33 by 67 matrix 	 3.87712 Gflop/s
33 by 66 matrix 	 3.87891 Gflop/s
33 by 65 matrix 	 3.8621 Gflop/s
33 by 64 matrix 	 4.14287 Gflop/s
33 by 63 matrix 	 4.09391 Gflop/s
33 by 62 matrix 	 4.10424 Gflop/s
33 by 61 matrix 	 4.10505 Gflop/s
33 by 60 matrix 	 4.11774 Gflop/s
33 by 59 matrix 	 4.09438 Gflop/s
33 by 58 matrix 	 4.17533 Gflop/s
33 by 57 matrix 	 4.1041 Gflop/s
33 by 56 matrix 	 4.16717 Gflop/s
33 by 55 matrix 	 4.17022 Gflop/s
33 by 54 matrix 	 4.16491 Gflop/s
33 by 53 matrix 	 4.16638 Gflop/s
33 by 52 matrix 	 4.17959 Gflop/s
33 by 51 matrix 	 4.18084 Gflop/s
33 by 50 matrix 	 4.13776 Gflop/s
33 by 49 matrix 	 4.13729 Gflop/s
33 by 48 matrix 	 4.16662 Gflop/s
33 by 47 matrix 	 4.10317 Gflop/s
33 by 46 matrix 	 4.08519 Gflop/s
33 by 45 matrix 	 4.17558 Gflop/s
33 by 44 matrix 	 4.10787 Gflop/s
33 by 43 matrix 	 4.11033 Gflop/s
33 by 42 matrix 	 4.06401 Gflop/s
33 by 41 matrix 	 4.09632 Gflop/s
33 by 40 matrix 	 4.10474 Gflop/s
33 by 39 matrix 	 4.12844 Gflop/s
33 by 38 matrix 	 3.97511 Gflop/s
33 by 37 matrix 	 4.08369 Gflop/s
33 by 36 matrix 	 4.10372 Gflop/s
33 by 35 matrix 	 4.07106 Gflop/s
33 by 34 matrix 	 4.02539 Gflop/s
33 by 33 matrix 	 4.11104 Gflop/s
33 by 32 matrix 	 4.04897 Gflop/s
34 by 300 matrix 	 3.17097 Gflop/s
34 by 299 matrix 	 3.17811 Gflop/s
34 by 298 matrix 	 3.18916 Gflop/s
34 by 297 matrix 	 3.19196 Gflop/s
34 by 296 matrix 	 3.19905 Gflop/s
34 by 295 matrix 	 3.18873 Gflop/s
34 by 294 matrix 	 3.17717 Gflop/s
34 by 293 matrix 	 3.16547 Gflop/s
34 by 292 matrix 	 3.17244 Gflop/s
34 by 291 matrix 	 3.18043 Gflop/s
34 by 290 matrix 	 3.18264 Gflop/s
34 by 289 matrix 	 3.18593 Gflop/s
34 by 288 matrix 	 3.20171 Gflop/s
34 by 287 matrix 	 3.21086 Gflop/s
34 by 286 matrix 	 3.21752 Gflop/s
34 by 285 matrix 	 3.23707 Gflop/s
34 by 284 matrix 	 3.26015 Gflop/s
34 by 283 matrix 	 3.28048 Gflop/s
34 by 282 matrix 	 3.31006 Gflop/s
34 by 281 matrix 	 3.331 Gflop/s
34 by 280 matrix 	 3.36694 Gflop/s
34 by 279 matrix 	 3.40048 Gflop/s
34 by 278 matrix 	 3.43327 Gflop/s
34 by 277 matrix 	 3.4699 Gflop/s
34 by 276 matrix 	 3.5079 Gflop/s
34 by 275 matrix 	 3.5638 Gflop/s
34 by 274 matrix 	 3.60815 Gflop/s
34 by 273 matrix 	 3.64414 Gflop/s
34 by 272 matrix 	 3.68544 Gflop/s
34 by 271 matrix 	 3.71542 Gflop/s
34 by 270 matrix 	 3.73641 Gflop/s
34 by 269 matrix 	 3.75086 Gflop/s
34 by 268 matrix 	 3.77412 Gflop/s
34 by 267 matrix 	 3.81036 Gflop/s
34 by 266 matrix 	 3.80664 Gflop/s
34 by 265 matrix 	 3.8202 Gflop/s
34 by 264 matrix 	 3.81914 Gflop/s
34 by 263 matrix 	 3.80286 Gflop/s
34 by 262 matrix 	 3.79512 Gflop/s
34 by 261 matrix 	 3.79678 Gflop/s
34 by 260 matrix 	 3.81614 Gflop/s
34 by 259 matrix 	 3.83943 Gflop/s
34 by 258 matrix 	 3.85368 Gflop/s
34 by 257 matrix 	 3.86788 Gflop/s
34 by 256 matrix 	 3.87797 Gflop/s
