33 by 125 matrix 	 3.95388 Gflop/s
33 by 124 matrix 	 3.96231 Gflop/s
33 by 123 matrix 	 3.98552 Gflop/s
33 by 122 matrix 	 3.96334 Gflop/s
33 by 121 matrix 	 3.97126 Gflop/s
33 by 120 matrix 	 3.98453 Gflop/s
33 by 119 matrix 	 3.98415 Gflop/s
33 by 118 matrix 	 3.97217 Gflop/s
33 by 117 matrix 	 3.97689 Gflop/s
33 by 116 matrix 	 3.96785 Gflop/s
33 by 115 matrix 	 3.97491 Gflop/s
33 by 114 matrix 	 3.96338 Gflop/s
33 by 113 matrix 	 3.95575 Gflop/s
33 by 112 matrix 	 3.95401 Gflop/s
33 by 111 matrix 	 3.95669 Gflop/s
33 by 110 matrix 	 3.95422 Gflop/s
33 by 109 matrix 	 3.96008 Gflop/s
33 by 108 matrix 	 3.96258 Gflop/s
33 by 107 matrix 	 3.95566 Gflop/s
33 by 106 matrix 	 3.94916 Gflop/s
33 by 105 matrix 	 3.94599 Gflop/s
33 by 104 matrix 	 3.9496 Gflop/s
33 by 103 matrix 	 3.94878 Gflop/s
33 by 102 matrix 	 3.95476 Gflop/s
33 by 101 matrix 	 3.93951 Gflop/s
33 by 100 matrix 	 3.96881 Gflop/s
33 by 99 matrix 	 3.92535 Gflop/s
33 by 98 matrix 	 3.93615 Gflop/s
33 by 97 matrix 	 3.92882 Gflop/s
33 by 96 matrix 	 3.93046 Gflop/s
33 by 95 matrix 	 3.90493 Gflop/s
33 by 94 matrix 	 3.91949 Gflop/s
33 by 93 matrix 	 3.93372 Gflop/s
33 by 92 matrix 	 3.91015 Gflop/s
33 by 91 matrix 	 3.91721 Gflop/s
33 by 90 matrix 	 3.91627 Gflop/s
33 by 89 matrix 	 3.8793 Gflop/s
33 by 88 matrix 	 3.91612 Gflop/s
33 by 87 matrix 	 3.89855 Gflop/s
33 by 86 matrix 	 3.87699 Gflop/s
33 by 85 matrix 	 3.90349 Gflop/s
33 by 84 matrix 	 3.8865 Gflop/s
33 by 83 matrix 	 3.87902 Gflop/s
33 by 82 matrix 	 3.87096 Gflop/s
33 by 81 matrix 	 3.88249 Gflop/s
33 by 80 matrix 	 3.86401 Gflop/s
33 by 79 matrix 	 3.86163 Gflop/s
33 by 78 matrix 	 3.8601 Gflop/s
33 by 77 matrix 	 3.84805 Gflop/s
33 by 76 matrix 	 3.8826 Gflop/s
33 by 75 matrix 	 3.85234 Gflop/s
33 by 74 matrix 	 3.83306 Gflop/s
33 by 73 matrix 	 3.83682 Gflop/s
33 by 72 matrix 	 3.84385 Gflop/s
33 by 71 matrix 	 3.82551 Gflop/s
33 by 70 matrix 	 3.82326 Gflop/s
33 by 69 matrix 	 3.82081 Gflop/s
33 by 68 matrix 	 3.82447 Gflop/s
33 by 67 matrix 	 3.81367 Gflop/s
33 by 66 matrix 	 3.79613 Gflop/s
33 by 65 matrix 	 3.79472 Gflop/s
33 by 64 matrix 	 4.05259 Gflop/s
33 by 63 matrix 	 4.05308 Gflop/s
33 by 62 matrix 	 4.02161 Gflop/s
33 by 61 matrix 	 4.07158 Gflop/s
33 by 60 matrix 	 4.04407 Gflop/s
33 by 59 matrix 	 4.02955 Gflop/s
33 by 58 matrix 	 4.01714 Gflop/s
33 by 57 matrix 	 4.0482 Gflop/s
33 by 56 matrix 	 4.02378 Gflop/s
33 by 55 matrix 	 4.11503 Gflop/s
33 by 54 matrix 	 4.03703 Gflop/s
33 by 53 matrix 	 4.08651 Gflop/s
33 by 52 matrix 	 4.04144 Gflop/s
33 by 51 matrix 	 4.09342 Gflop/s
33 by 50 matrix 	 4.07583 Gflop/s
33 by 49 matrix 	 4.07568 Gflop/s
33 by 48 matrix 	 4.07763 Gflop/s
33 by 47 matrix 	 4.04148 Gflop/s
33 by 46 matrix 	 4.05172 Gflop/s
33 by 45 matrix 	 4.08331 Gflop/s
33 by 44 matrix 	 4.08218 Gflop/s
33 by 43 matrix 	 4.05223 Gflop/s
33 by 42 matrix 	 4.05436 Gflop/s
33 by 41 matrix 	 4.08587 Gflop/s
33 by 40 matrix 	 4.07926 Gflop/s
33 by 39 matrix 	 4.08859 Gflop/s
33 by 38 matrix 	 4.00768 Gflop/s
33 by 37 matrix 	 4.03575 Gflop/s
33 by 36 matrix 	 3.9829 Gflop/s
33 by 35 matrix 	 4.06015 Gflop/s
33 by 34 matrix 	 3.99109 Gflop/s
33 by 33 matrix 	 4.02309 Gflop/s
33 by 32 matrix 	 3.99159 Gflop/s
34 by 300 matrix 	 3.17054 Gflop/s
34 by 299 matrix 	 3.17859 Gflop/s
34 by 298 matrix 	 3.18478 Gflop/s
34 by 297 matrix 	 3.19608 Gflop/s
34 by 296 matrix 	 3.18996 Gflop/s
34 by 295 matrix 	 3.16788 Gflop/s
34 by 294 matrix 	 3.16296 Gflop/s
34 by 293 matrix 	 3.15177 Gflop/s
34 by 292 matrix 	 3.16179 Gflop/s
34 by 291 matrix 	 3.16955 Gflop/s
34 by 290 matrix 	 3.17026 Gflop/s
34 by 289 matrix 	 3.17396 Gflop/s
34 by 288 matrix 	 3.19128 Gflop/s
34 by 287 matrix 	 3.18417 Gflop/s
34 by 286 matrix 	 3.20968 Gflop/s
34 by 285 matrix 	 3.21909 Gflop/s
34 by 284 matrix 	 3.25116 Gflop/s
34 by 283 matrix 	 3.2733 Gflop/s
34 by 282 matrix 	 3.29369 Gflop/s
34 by 281 matrix 	 3.30905 Gflop/s
34 by 280 matrix 	 3.35042 Gflop/s
34 by 279 matrix 	 3.37882 Gflop/s
34 by 278 matrix 	 3.41038 Gflop/s
34 by 277 matrix 	 3.45803 Gflop/s
34 by 276 matrix 	 3.51093 Gflop/s
34 by 275 matrix 	 3.55085 Gflop/s
34 by 274 matrix 	 3.59755 Gflop/s
34 by 273 matrix 	 3.63373 Gflop/s
34 by 272 matrix 	 3.67505 Gflop/s
34 by 271 matrix 	 3.7054 Gflop/s
34 by 270 matrix 	 3.72286 Gflop/s
34 by 269 matrix 	 3.74261 Gflop/s
34 by 268 matrix 	 3.7724 Gflop/s
34 by 267 matrix 	 3.79904 Gflop/s
34 by 266 matrix 	 3.80818 Gflop/s
34 by 265 matrix 	 3.81081 Gflop/s
34 by 264 matrix 	 3.80461 Gflop/s
34 by 263 matrix 	 3.78464 Gflop/s
34 by 262 matrix 	 3.76643 Gflop/s
34 by 261 matrix 	 3.78024 Gflop/s
34 by 260 matrix 	 3.79639 Gflop/s
34 by 259 matrix 	 3.8103 Gflop/s
34 by 258 matrix 	 3.83235 Gflop/s
34 by 257 matrix 	 3.84267 Gflop/s
34 by 256 matrix 	 3.87455 Gflop/s
